2776,2777,0.9472,,0.5484
2776,2778,0.9319,,
2777,2783,0.9293,,
475,474,0.9255,,
2682,2681,0.9210,,
1040,476,0.9208,,
2778,2777,0.9205,,
2776,2783,0.9180,,
2778,2783,0.9039,,
2845,2852,0.8486,,
3285,3284,0.8336,,
462,425,0.8330,,
193,446,0.8082,,
217,220,0.7821,,
217,239,0.7815,,
238,220,0.7723,,
5917,5904,0.7714,,
217,236,0.7550,,
239,220,0.7460,,
2687,2686,0.7379,,
933,462,0.7360,,
2329,2330,0.7330,,
236,220,0.7248,,
933,196,0.7114,,
220,221,0.7099,,
236,239,0.6957,,
217,195,0.6950,,
6035,6033,0.6929,,
238,239,0.6852,,
239,221,0.6721,,
217,221,0.6693,,
195,239,0.6654,,
195,420,0.6648,,
195,238,0.6610,,
3614,3613,0.6549,,
196,194,0.6547,,
195,220,0.6536,,
446,196,0.6423,,
205,196,0.6412,,
205,933,0.6394,,
196,462,0.6313,,
219,238,0.6159,,
205,462,0.6111,,
217,238,0.6106,,
217,218,0.6104,,
237,236,0.6090,,
219,195,0.6078,,
193,196,0.6070,,
195,221,0.6059,,
3424,3425,0.6057,,
217,420,0.5980,,
236,195,0.5980,,
238,221,0.5898,,
420,238,0.5884,,
446,194,0.5881,,
446,933,0.5861,,
193,933,0.5837,,
193,214,0.5799,,
215,216,0.5751,,
205,194,0.5724,,
205,446,0.5663,,
420,220,0.5637,,
205,433,0.5574,,
205,214,0.5538,,
933,194,0.5525,,
462,194,0.5502,,
123,124,0.5499,,
219,239,0.5495,,
219,221,0.5493,,
126,123,0.5489,,
218,195,0.5485,,
193,462,0.5480,,
236,221,0.5472,,
433,933,0.5451,,
219,220,0.5428,,
193,205,0.5422,,
433,462,0.5360,,
5904,5914,0.5295,,
420,239,0.5289,,
5732,5828,0.5279,,
217,219,0.5267,,
192,194,0.5208,,
933,425,0.5196,,
215,122,0.5086,,
113,124,0.4966,,
446,462,0.4964,,
193,194,0.4930,,
218,239,0.4924,,
237,220,0.4919,,
126,124,0.4877,,
433,214,0.4862,,
933,214,0.4858,,
218,420,0.4845,,
122,216,0.4838,,
462,214,0.4809,,
236,238,0.4763,,
236,420,0.4707,,
5999,6000,0.4697,,
194,425,0.4595,,
219,218,0.4525,,
446,214,0.4452,,
218,220,0.4354,,
5462,3448,0.4349,,
218,236,0.4340,,
237,239,0.4302,,
196,425,0.4240,,
113,123,0.4222,,
219,236,0.4220,,
193,433,0.4204,,
237,221,0.4201,,
237,195,0.4191,,
420,221,0.4159,,
237,217,0.4116,,
192,214,0.4114,,
433,446,0.4077,,
5917,5914,0.4027,,
433,425,0.3988,,
218,238,0.3979,,
196,214,0.3967,,
433,196,0.3945,,
192,425,0.3876,,
192,462,0.3832,,
205,192,0.3746,,
205,425,0.3678,,
219,420,0.3532,,
218,221,0.3397,,
433,194,0.3222,,
237,238,0.3120,,
194,214,0.3073,,
425,214,0.2867,,
193,425,0.2726,,
237,219,0.2643,,
933,192,0.2626,,
193,192,0.2551,,
237,420,0.2160,,
192,196,0.2150,,
433,192,0.2127,,
446,192,0.1693,,
446,425,0.1518,,
126,113,0.1193,,
237,218,0.1180,,
